,Unnamed: 0,tax,income,csp,age,educ,marital,race,sex,ss
1249,1301,0,36744,11100,38,40,5,1,2,0
1250,1302,0,13000,0,26,39,7,1,2,0
1251,1303,5300,107442,0,67,43,1,1,1,0
1252,1304,4000,12313,0,72,34,4,1,1,11080
1253,1305,900,72840,0,68,39,1,1,1,0
1254,1306,0,13728,0,65,37,1,2,2,3582
1255,1307,11000,80971,0,50,44,5,2,2,0
1256,1308,6500,75870,0,55,39,1,1,1,0
1257,1309,0,25703,0,71,34,1,2,2,4410
1258,1310,0,15010,0,62,39,1,1,2,954
1259,1311,3500,167409,0,42,40,1,1,1,0
1260,1312,1000,78075,0,54,40,1,1,1,0
1261,1313,2150,72065,0,38,39,1,1,1,0
1262,1314,1800,130200,0,34,44,3,1,2,0
1263,1315,0,409111,0,50,45,1,1,1,0
1264,1316,0,120940,0,38,43,1,4,1,0
1265,1317,0,249346,0,39,43,1,1,1,0
1266,1319,4200,13161,0,57,40,1,1,2,0
1267,1320,1666,98065,0,43,42,7,1,1,0
1268,1321,1521,107620,0,54,44,5,1,2,0
1269,1322,0,39000,0,19,39,7,1,2,0
1270,1323,1203,46842,0,32,39,1,1,1,0
1271,1324,0,28007,0,30,39,7,1,1,0
1272,1325,1572,23301,0,68,39,1,1,1,13074
1273,1326,0,17000,0,27,37,7,2,2,0
1274,1327,0,30000,0,31,40,7,1,1,0
1275,1328,1200,51300,0,48,38,5,2,1,0
1276,1329,314,30804,0,75,39,1,1,2,6726
1277,1330,735,65100,0,27,43,1,1,1,0
1278,1331,650,99820,0,74,43,7,1,1,10986
1279,1332,900,55300,0,39,39,1,1,1,0
1280,1335,1800,40195,0,75,39,4,1,2,9078
1281,1336,2226,36322,0,67,39,1,1,1,12546
1282,1337,800,13070,0,80,39,1,1,1,7626
1283,1338,0,43510,0,25,39,7,1,1,0
1284,1339,0,53942,700,35,40,1,2,2,0
1285,1340,0,55288,0,31,43,7,1,2,0
1286,1341,0,25120,0,45,41,5,1,1,0
